sqft,age,bedrooms,bathrooms,floor,property_type,location_tier,distance_to_city,garden,pool,garage,furnished,crime_rate,school_rating,hospital_distance,shopping_distance,price
1200,5,3,2,2,Apartment,Tier 1,4,1,1,1,1,20,8,2,1,8500000
1500,10,3,2,3,Apartment,Tier 1,6,0,0,1,1,30,7,3,2,7800000
1800,2,4,3,1,Villa,Tier 1,3,1,1,1,1,15,9,1,1,15000000
900,8,2,1,2,Apartment,Tier 2,8,0,0,0,0,40,6,4,3,4200000
1100,6,2,2,4,Apartment,Tier 2,7,1,0,1,0,35,7,3,2,5200000
2000,3,4,3,1,Villa,Tier 1,2,1,1,1,1,10,9,1,1,18000000
750,12,2,1,3,Apartment,Tier 3,12,0,0,0,0,50,5,5,4,3000000
1300,4,3,2,2,Apartment,Tier 2,6,1,0,1,1,28,7,2,2,6500000
1700,5,4,3,1,Villa,Tier 2,5,1,1,1,1,25,8,2,1,11000000
950,9,2,2,5,Apartment,Tier 3,10,0,0,0,0,45,6,4,3,3800000
1400,3,3,2,2,Apartment,Tier 1,4,1,1,1,1,18,8,2,1,9000000
2100,2,4,4,1,Villa,Tier 1,2,1,1,1,1,12,9,1,1,20000000
800,15,2,1,3,Apartment,Tier 3,14,0,0,0,0,55,5,6,5,2500000
1600,6,3,3,2,Villa,Tier 2,5,1,1,1,0,30,7,3,2,10000000
1000,7,2,2,4,Apartment,Tier 2,7,0,0,1,0,35,6,3,3,5000000
1900,4,4,3,1,Villa,Tier 1,3,1,1,1,1,20,9,1,1,16000000
1250,5,3,2,3,Apartment,Tier 2,6,1,0,1,1,28,7,2,2,7000000
1450,3,3,3,2,Apartment,Tier 1,4,1,1,1,1,22,8,2,1,9500000
2200,2,5,4,1,Villa,Tier 1,2,1,1,1,1,10,9,1,1,22000000
850,10,2,1,3,Apartment,Tier 3,11,0,0,0,0,48,6,5,4,3200000